1005,1,10,214,3,42969,27207,690
1005,2,10,219,24,43650,28862,680
1005,3,4,146,24,36789,29017,712
1005,4,4,156,31,37937,29709,667
1005,5,5,21,29,25586,29801,661
1005,6,2,47,14,28111,28563,651
1005,7,5,32,21,26573,29213,656
1005,9,20,39,1,27279,27775,670
1005,10,14,165,2,38576,27246,675
1005,11,2,57,1,28924,27695,634
1005,0,14,164,10,38622,27924,681
1005,0,5,17,3,25118,27562,696
1005,0,10,219,19,43547,28286,693
1005,0,10,228,29,44519,29117,727
1005,0,10,230,23,44628,28510,715
1005,0,4,125,2,34910,27393,693
1005,0,4,127,26,35493,29533,703
1005,0,4,189,28,40879,29421,706
1005,0,10,215,11,43240,27869,706
1006,14,3,167,11,38463,27740,616
1006,15,5,63,10,28739,28412,610
1006,16,5,45,13,27821,28597,619
1006,17,2,73,31,30406,29829,592
1006,18,14,146,21,37021,28765,623
1006,19,2,51,29,28335,29853,595
1006,60,14,153,22,37573,29020,617
1006,0,14,152,5,37619,27680,619
1006,0,14,146,26,37001,29345,626
1007,20,2,71,19,30013,28706,573
1007,21,3,165,9,38763,27820,597
1007,61,2,69,15,29979,28737,570
1007,0,2,72,30,30329,29700,567
1007,62,2,86,26,31597,29466,575
1007,0,2,69,15,29953,28737,568
1007,0,2,85,26,31579,29438,577
1007,0,2,89,16,31947,28735,580
1008,22,4,107,5,33118,27309,491
1008,23,3,165,14,38556,28229,524
1008,24,3,171,15,39085,28488,528
1008,25,3,163,6,38255,27658,537
1008,26,4,95,6,32413,27462,465
1008,64,2,51,18,27915,28805,502
1008,65,2,88,1,31306,27376,518
1008,0,3,172,18,39253,28508,533
1008,0,3,177,28,39586,29583,515
1009,0,2,85,6,31121,27737,507
1009,66,2,57,1,28276,27299,498
1009,67,2,80,11,30504,28168,510
1009,0,3,172,17,39253,28508,542
1009,0,3,177,28,39586,29583,515
1010,0,2,85,6,31121,27737,507
1010,0,3,177,28,39586,29583,515
1010,0,3,172,17,39253,28508,542
1010,69,2,21,27,24902,29589,440
1010,70,2,11,23,24235,29262,461
1010,71,2,50,14,27732,28475,471
1010,72,2,47,8,27607,27264,486
1010,73,2,86,7,31108,27748,506
1010,74,3,170,28,38792,29581,488
1010,0,3,175,7,39455,27600,551
1010,0,2,16,23,24818,29208,458
1010,0,3,170,29,38849,29270,492
2001,0,3,71,27,31051,34114,461
2001,0,3,81,13,31866,33091,462
2001,0,3,64,27,30430,34235,453
2001,27,3,114,18,34789,33357,457
2001,28,3,97,4,32971,32760,435
2001,29,3,86,14,32589,33119,445
2001,75,3,101,29,33358,34850,424
2001,0,3,116,5,34652,32507,450
2002,30,4,123,4,36330,32409,578
2002,31,3,172,1,40795,31988,600
2002,32,3,161,27,39620,33821,547
2002,33,3,170,10,40580,32815,572
2002,34,4,111,10,35193,32739,555
2002,35,13,129,27,37009,34052,564
2002,36,3,143,17,38241,33238,577
2002,37,5,17,15,25726,32758,530
2002,38,13,123,31,36402,34305,554
2002,39,3,134,18,37061,33336,561
2002,40,3,189,2,42345,32036,568
2002,59,4,96,5,33623,32555,548
2003,41,4,96,28,33649,34156,518
2003,42,4,124,3,36339,32271,580
2003,76,4,95,26,33645,34286,523
2003,77,3,147,8,38163,32304,540
2003,0,2,46,5,28810,32377,529
2003,0,2,72,22,31570,33817,552
2003,0,4,96,6,33610,32513,547
2003,0,4,108,3,34722,32977,545
2004,43,10,154,9,39473,32557,683
2004,44,3,131,24,37642,33753,665
2004,45,2,70,4,31808,32502,669
2004,46,14,103,21,35002,33492,635
2004,47,2,48,21,29955,33801,637
2004,48,5,6,23,26062,34058,634
2005,49,3,154,28,38938,33865,612
2005,50,3,143,25,38034,33595,626
2005,51,14,156,6,39147,32167,627
2005,52,2,84,9,32537,32506,623
2005,53,2,46,9,29115,32636,624
2005,54,5,18,15,26454,33321,611
2005,78,10,198,5,43046,31964,684
2005,79,11,205,30,43910,33798,669
2005,80,3,141,24,37980,33636,643
2005,81,3,158,23,39592,33297,652
2005,83,10,176,4,41223,31863,650
2005,0,2,97,14,33874,33002,611
2005,0,14,154,6,39112,32152,625
2005,0,14,159,15,39555,32671,627
2006,55,3,142,21,38130,32995,490
2006,56,4,125,31,36396,33759,503
2006,57,4,74,1,32120,32460,491
2006,83,2,5,23,25195,33446,476
2006,84,2,40,13,28483,32572,504
2006,0,2,9,13,25485,32418,513
2006,0,14,100,1,33769,31687,507
