257,  534.3370  242.2560  100.8900
258,  437.9050  148.5600  210.5100
259,  531.2170  264.9280   70.7100
260,  424.8250  278.1600  127.3200
261,  501.9120  273.8560   18.4800
263,  383.1370  187.1680  282.7800
265,  389.4970  242.5280  293.1900
266,  467.5680  196.8800   28.7100
267,  425.6170  219.7600  143.7300
268,  416.6410  233.1680   73.4700
269,  430.7520  246.3520   26.7900
270,  457.7770  194.5760   79.6200
271,  386.8330  196.5600  130.6500
272,  354.0250  203.8720  269.7600
273,  388.3690  217.6800  111.3300
274,  401.1370  142.5120  220.8600
275,  429.0490  135.0240  189.1800
276,  413.7370  222.0480  209.1600
277,  448.7530  270.0320  167.7600
278,  416.5690  166.5120  190.6500
279,  422.8090  155.7280  269.5200
280,  473.0410  255.0560  205.7700
281,  481.6570  233.3920  182.4600
282,  467.9050  156.8640  106.2300
283,  396.1930  272.5920   60.5100
284,  358.0330  232.6880  103.3500
285,  225.1210  260.8320   87.4500
286,  166.7050  296.8800   88.7400
287,  204.0010  222.2720  146.2500
288,  161.1370  246.9280  204.8700
289,  164.5450  295.4720  137.6400
290,  193.9930  246.5280  148.8900
291,  149.6170  252.1120  156.3000
292,  184.3210  235.8720   88.8600
293,  165.7690  243.9040  126.1800
294,  188.9290  211.8080  121.1700
295,  153.6970  176.1120  184.0200
296,  165.0720  297.0240   27.9600
297,  142.5130  283.2800  177.8400
298,  155.6650  250.4160  194.3700
299,  167.3530  200.3520  234.0600
301,  279.0010  250.6880   48.5100
310,  470.6410  269.5360  163.1700
311,  545.1610  314.9280  233.6400
312,  556.8250  302.4160  194.7300
313,  557.9530  294.5600  190.6500
400,  420.3370  186.1120  126.3900
401,  494.0170  166.2240  131.1000
501,  140.4970  270.0000  176.9700
502,  108.9850  211.6000  155.4300
503,  166.8250  224.7520  108.6000
504,  388.5370  206.2560   58.3800
505,  394.8490  189.7920  173.2800
506,  420.1210  178.6720  124.5600
507,  451.9200  209.9520   36.6900
508,  394.5130  199.1840   81.3900
509,  431.4970  115.4560   56.3400
510,  407.5450  219.3920  165.8400
511,  420.5050  198.1600  113.6700
512,  371.5210  235.1360  228.3900
513,  376.8010  217.2640  281.2200
514,  407.6650  233.3600  262.7100
515,  370.1290  254.5120  241.0800
516,  392.0890  172.8640   91.3800
517,  369.0730  226.7840  118.4700
518,  167.1370  205.9520  226.4700
519,  376.5610  235.6320  184.6800
520,  361.9210  205.3920  231.6000
521,  363.4810  232.6080  237.7200
522,  443.9770  191.5200  239.8200
523,  398.9530  226.0640  225.9000
524,  421.8730  204.8000  211.3500
526,  403.8970  222.9440  256.9800
527,  381.2650  188.7680  207.9300
528,  411.6490  164.8160   89.7300
529,  544.6330  201.8880   65.3100
601,  255.7930  217.4400  120.0000
602,  137.7850  242.3040  180.6000
603,  248.4490  243.7440  120.0000
604,  248.2570  217.0400  134.6400
605,  226.3210  207.5680  126.5700
606,  218.5690  192.3680  177.2400
607,  275.3530  330.4160  103.1100
608,  225.9610  232.9920  167.7300
609,  232.6330  163.6480  137.9100
610,  296.0170  220.3360   60.9900
611,  304.6810  253.7440   79.0800
612,  322.0810  248.3200  102.9900
613,  214.1770  236.5600  129.4500
614,  249.3850  284.0480   58.2900
615,  309.8650  276.6720   71.0100
616,  276.9610  250.4160  105.8700
617,   81.3130  221.0400  202.5300
618,  312.0240  228.7040   12.0300
619,  317.7370  217.5840   44.2800
620,  230.6890  265.5040  130.7400
621,  208.3690  296.7360  143.5500
622,  209.5930  275.2640   77.3100
623,  242.4010  229.3120  102.0600
624,  216.8650  226.0320  123.4500
625,  175.3930  287.0880  175.7100
626,  233.4720  309.6320   37.0200
627,  206.8330  249.1200   42.8700
628,  222.7680  357.1840   24.7200
629,  177.1450  276.4000  139.0500
630,  204.0970  162.0160  141.0300
701,  130.3930  262.7040   40.4700
702,  237.5290  294.1920  108.3300
703,  253.0090  298.1760   96.2400
901,  444.2410  238.3360  101.1900
902,  469.3450  246.5120  139.8600
903,  387.3850  199.1200  101.0400
904,  414.9610  225.5040   92.4600
905,  395.9050  227.6800  115.1100
906,  403.0810  175.9520  102.1800
907,  503.3530  185.2480  130.8900
908,  446.1370  247.8400  112.6800
909,  512.5450  232.2080  120.0600
910,  422.2570  260.0960  120.5400
911,  423.8410  259.9040  110.4900
912,  530.2570  223.8080  131.5200
913,  388.0330  253.4080  115.3500
914,  422.0650  247.5680   74.8800
915,  401.9050  257.8240  106.2900
916,  464.3530  262.8800  110.1000
917,  506.1610  255.0400  140.7600
918,  493.4650  264.7200  125.3100
919,  379.2490  165.5680  132.4800
920,  572.4730  157.4720  180.9600
921,  517.0810  206.3520  187.1100
922,  538.5600  212.8160   37.6800
923,  494.2090  192.2720  263.0100
924,  521.9530  213.7760   99.0000
925,  480.7450  233.6800  137.0100
926,  506.8800  344.7520   37.8000
927,  540.4800  129.7280    5.9100
928,  517.9930  226.1600  197.1900
929,  481.7290  224.4640  101.5500
930,  566.2570  199.4880  136.3500
931,  510.6730  238.1920  157.5000
932,  545.2810  216.4640   61.6500
933,  350.2330  127.8720  183.8400
934,  389.9050  144.5920   96.0300
935,  365.0170  166.3040  114.7200
936,  354.0490  190.7680   51.0000
937,  354.2170  173.1520   40.8600
938,  282.5290  249.4080  157.6800
939,  342.3610  211.7440   97.0200
940,  419.7850  214.8960   43.3200
941,  550.6090  195.6800  102.8700
942,  562.9930  210.1120  154.9500
943,  571.8970  207.2160   90.8400
944,  512.9530  165.5040  111.6600
945,  405.3610  260.5920   46.2300
946,  370.6090  182.7680   62.1300
947,  283.8010  279.6640   66.4200
948,  497.7130  213.5040  194.6100
1001,  433.1530  217.2160  117.8400
1002,  191.0410  228.0320   99.6900
1003,  191.9050  227.8400   99.9000
1004,  192.1450  228.5760   99.3600
1005,  202.3210  231.5520   99.6600
1006,  439.9210  219.6160  120.1200
1009,  449.1850  215.4880  124.2000
1010,  430.4170  201.0880  179.4600
1012,  433.0570  205.2800  167.7600
1013,  446.8330  190.1120  156.3600
1014,  447.9850  191.1360  154.5900
1015,  437.5690  197.6640  178.2900
1018,  439.3930  203.7440  199.0500
1019,  402.8170  211.4880  159.7500
1020,  405.5530  208.9600  174.0000
1021,  427.5850  218.5600  163.6500
1022,  452.8330  231.5840  125.2500
1023,  464.8330  201.5040  122.4000
1025,  435.5050  224.5440   96.6900
1026,  446.4970  208.0640  129.2100
1027,  433.0570  192.4480   89.5800
1028,  434.6890  200.5120   82.8300
1029,  419.6170  180.0000  109.4400
1030,  426.8650  178.0160  114.8400
1031,  459.5530  198.8160   76.9800
1032,  462.1930  199.6480   72.6000
1033,  465.9370  199.2640   69.0000
1034,  456.8650  185.6640   87.4200
1036,  450.8650  175.0720  103.5300
1037,  452.3050  171.2640   98.5200
1038,  463.5370  204.7680  100.6500
1040,  422.9290  216.1280   77.5500
1041,  424.6090  216.8320   76.6800
1043,  436.5130  226.0160   95.1000
1044,  455.6650  196.9920  144.4500
1047,  456.7210  184.0320  139.3200
1048,  442.0810  178.4960  158.5500
1049,  441.5530  178.7840   46.9200
1050,  423.8410  167.6480   54.0000
1051,  467.0410  160.4800   64.2000
1052,  474.5290  165.6000   53.8200
1053,  456.6730  193.9520   54.9000
1054,  457.3930  195.1680  136.1100
1055,  410.1610  189.9840  171.8400
1056,  435.2170  223.3920   96.5100
1057,  434.4960  190.3040   32.1300
1058,  264.4330  157.9840   80.1900
1059,  254.0170  303.0720   44.4900
1060,  410.8810  193.1680  135.0300
1061,  428.0170  173.1840  131.4600
1062,  443.8330  205.1360  136.9800
1063,  447.0490  205.3280  153.2400
1064,  425.0410  164.0000  138.9300
1065,  424.5610  162.6880  138.5100
1066,  466.2730  203.9040  123.4800
1067,  433.2010  218.0480  116.4300
1104,  427.6330  174.0000  118.2900
1105,  427.3930  166.2880  117.9600
1110,  470.7370  173.8560  139.7400
1111,  465.0970  116.3680  195.2400
1112,  398.7130  203.3440  165.3300
1113,  391.6810  193.9040  158.9100
1121,  400.8490  235.6960  130.0800
1122,  406.8970  204.8640  122.5200
1123,  403.3450  187.0720  127.2000
2001,  469.5610  208.7040  117.3600
2002,  261.0010  285.1840   56.1600
2003,  468.7450  205.1840  116.3400
2004,  470.5930  204.0320  115.0200
2005,  469.2490  209.7920  116.0700
2006,  468.9850  206.8960  114.9300
2007,  466.6330  210.6400  118.4700
2008,  467.4250  210.6240  116.8800
2009,  468.0010  207.0720  115.5900
2010,  471.3610  201.3760  115.8900
2011,  482.1850  223.2000  110.6700
2012,  472.5610  188.4480  135.6300
2013,  471.9130  186.8160  136.7400
2014,  473.2810  187.9360  138.4800
2015,  472.1530  188.2560  137.6400
2016,  471.6730  187.5840  134.9700
2017,  473.8330  184.1600  141.9300
2018,  474.7210  187.6800  135.1500
2019,  473.4010  187.1520  134.5500
2020,  472.2730  188.4320  134.4300
2021,  444.0490  234.8000   80.3100
2022,  444.3850  235.0560   77.0400
2023,  444.8170  234.5760   75.9600
2024,  445.6570  234.1120   77.1000
2025,  445.2010  235.3440   76.6200
2026,  443.3770  235.4560   78.8700
2027,  445.2010  235.7280   79.2900
2028,  445.2250  233.9200   80.7000
2029,  445.6090  234.8640   78.7800
2030,    0.0010    0.0010    0.0010
2031,  469.9450  211.7920  114.8100
2032,  456.1450  196.2880   82.9800
2033,  457.5610  197.4560   82.5900
2034,  458.0650  195.8080   81.4500
2035,  459.0010  195.3920   78.6600
2038,  468.7690  231.9840   73.5300
2039,  468.0970  230.3200   74.5800
2040,  466.5850  231.4400   73.1100
2041,  466.2490  230.3840   74.0400
2042,  448.2490  222.6720  109.2300
2043,  460.5370  225.3120  118.6500
2044,  467.8090  211.7120  116.8200
2045,  418.4170  215.8880  124.5000
2046,  255.1930  292.8800   58.6800
3001,  512.6410  195.2800  176.1900
3002,  179.8090  241.7920  104.9100
3003,  179.9290  241.0080  104.0700
4001,  371.7850  227.9840  215.3100
4002,  301.5840  222.6400   32.2200
5001,  191.7850  248.0320  109.3200
5002,  194.4250  246.2560  107.9100
5003,  193.1530  257.6640  113.8500
5004,  192.8890  259.8240  112.1100
5005,  178.0330  246.7520  102.2700
5006,  208.7770  222.9920  120.3900
5007,  201.6970  252.9120  106.1100
5008,  202.6570  254.1600  105.6900
5009,  178.3450  245.9520  101.0700
5010,  207.8170  221.9840  119.8500
5101,  436.3450  179.4560  113.2200
5102,  435.5290  178.6880  112.8600
5103,  447.4090  178.4320   78.9000
5104,  437.3770  200.6400  104.0700
5105,  434.3530  201.0720  107.2500
5106,  433.4170  203.7120  108.6300
5107,  438.1930  199.0080  104.1000
5108,  437.2810  201.3600  106.0800
5109,  432.1690  201.7120  108.2400
5110,  434.4010  205.8400  108.4200
5111,  432.7930  165.2320  116.4600
5112,  438.9370  190.2240   39.1200
5113,  437.7370  189.5840   39.1200
5114,  444.4090  176.4320   93.3300
5115,  444.6250  175.6320   91.3500
5116,  442.1050  174.7680   95.4900
5117,  478.0560  187.0240   33.2700
5118,  480.6240  185.1520   27.9300
5119,  460.9930  219.1520   64.6200
5120,  431.3290  169.5200   86.6400
5121,  436.8490  219.2800  163.5000
6000,  233.0650  238.4480  119.4000
6001,  231.6250  238.2720  119.2500
6002,  266.2330  224.6400  101.7600
6101,  234.0250  221.2800  140.4300
7001,  186.9130  270.1920   49.8600
7002,  166.5370  313.2160   40.6800
7003,  115.8730  231.7280   54.0300
7004,  159.6490  294.9600   52.3200
7005,  144.8650  289.8240   63.5700
7006,  126.6240  279.6160   23.4900
7007,  139.4400  280.2560   21.7500
7008,  118.4160  283.0560   13.4700
7009,  140.7840  285.4080   24.4200
7010,  139.7520  283.9040   24.1800
7011,  140.8320  284.1280   24.1800
7012,  141.1680  286.4320   22.0200
7013,  250.5370  311.5520   95.1300
7014,  249.8170  294.9120   81.4200
7015,  252.6010  279.0400   88.5300
7016,  253.0570  278.7040   88.4400
7017,  250.7530  276.1440   92.1000
7018,  250.2730  275.3120   93.0900
7019,  247.0330  266.6880   98.4900
7020,  262.0090  290.1600   59.1300
7021,  263.2330  291.7760   57.5400
7022,  262.2010  292.4800   57.5400
7023,  262.6570  299.1200   51.3000
9101,  360.4810  201.4080  113.0400
9102,  508.6330  185.4880  152.4900
9103,  472.7770  190.6240  142.5600
9104,  495.7210  188.9120  192.9600
9105,  483.7930  207.0560  120.3900
9106,  510.8890  204.5920  105.1500
9107,  481.9930  191.2800  130.9500
9108,  382.3930  166.0320   71.7000
9109,  358.3930  198.4480  113.3400
9110,  364.5850  182.0160  136.2900
9111,  524.5450  241.3600  157.5000
9201,  438.7690  205.9840  240.0000
9202,  439.7290  206.3840  240.0000
