0  0  0
1           0       2e-05
2           0     0.02679
3           0     0.04673
4           0     0.06672
5           0     0.08666
6           0     0.10559
7           0     0.12648
8           0     0.15016
9           0     0.17368
10            0      0.19463
11            0      0.22417
12            0      0.24785
13            0      0.26779
14            0      0.28778
15            0      0.30867
16            0      0.32867
17            0       0.3476
18            0      0.36753
19            0      0.38848
20            0      0.41597
21            0      0.44275
22            0      0.47024
23            0      0.49986
24            0      0.53265
25            0      0.56544
26            0      0.59823
27            0      0.63102
28            0      0.65465
29            0      0.67822
30            0      0.69822
31            0      0.72174
32            0      0.74269
33            0      0.76364
34            0      0.78358
35            0      0.80725
36            0      0.83004
37            0      0.84998
38            0      0.86991
39            0      0.88985
40            0      0.91079
41            0      0.93442
42            0      0.96721
43   0   1
43   1   0
44            1       0.0212
45            1       0.0424
46            1      0.06361
47            1      0.08481
48            1      0.10601
49            1      0.12721
50            1      0.14842
51            1      0.16757
52            1      0.18668
53            1      0.20448
54            1      0.21976
55            1      0.23265
56            1      0.24554
57            1      0.26028
58            1      0.27556
59            1       0.2891
60            1      0.30261
61            1      0.31616
62            1      0.33296
63            1      0.35212
64            1      0.37127
65            1      0.39038
66            1      0.40511
67            1      0.42036
68            1      0.43509
69            1       0.4542
70            1      0.46951
71            1      0.48472
72            1          0.5
73            1      0.51781
74            1      0.53691
75            1      0.55607
76            1      0.57727
77            1      0.59847
78            1      0.61763
79            1      0.63443
80            1      0.64798
81            1      0.66264
82            1      0.67738
83            1      0.69211
84            1        0.705
85            1      0.71851
86            1       0.7321
87            1      0.74731
88            1      0.76259
89            1       0.7779
90            1      0.79311
91            1      0.80839
92            1       0.8262
93            1       0.8453
94            1      0.86216
95            1      0.88127
96            1      0.89813
97            1      0.91724
98            1      0.93639
99            1       0.9576
100             1        0.9788
101    1    1
101    2    0
102             2       0.09578
103             2       0.21309
104             2       0.31908
105             2       0.42478
106             2       0.53077
107             2       0.64807
108             2       0.76538
109             2       0.88269
110    2    1
110    3    0
111             3        0.0587
112             3        0.1174
113             3        0.1761
114             3        0.2348
115             3       0.28784
116             3       0.34073
117             3       0.39003
118             3       0.43924
119             3       0.48846
120             3       0.54149
121             3        0.6002
122             3       0.64688
123             3       0.69324
124             3       0.73085
125             3       0.77721
126             3        0.8239
127             3        0.8826
128             3        0.9413
129    3    1
129    4    0
130             4       0.05489
131             4       0.10447
132             4       0.15049
133             4       0.19531
134             4       0.24132
135             4       0.29091
136             4        0.3405
137             4       0.38995
138             4       0.43954
139             4        0.4832
140             4       0.52654
141             4       0.56618
142             4       0.60968
143             4       0.64915
144             4       0.69265
145             4        0.7363
146             4       0.78575
147             4       0.83534
148             4       0.89023
149             4       0.94511
150    4    1
150    5    0
151             5       0.18809
152             5       0.39565
153             5       0.60435
154             5       0.81191
155    5    1
155    6    0
156             6       0.02705
157             6       0.06018
158             6       0.08653
159             6       0.10764
160             6       0.12779
161             6       0.14793
162             6        0.1718
163             6       0.20494
164             6       0.23487
165             6       0.25875
166             6       0.27889
167             6           0.3
168             6       0.32122
169             6       0.34739
170             6       0.36861
171             6       0.38972
172             6       0.41083
173             6       0.43476
174             6       0.46461
175             6       0.49454
176             6       0.52768
177             6       0.56081
178             6       0.59394
179             6       0.62707
180             6         0.657
181             6       0.68326
182             6       0.70714
183             6       0.73419
184             6       0.76124
185             6       0.78512
186             6       0.80894
187             6       0.83197
188             6       0.85589
189             6       0.88206
190             6       0.90598
191             6       0.93584
192             6       0.95976
193             6       0.98087
194    6    1
194    7    0
195             7       0.04068
196             7       0.07744
197             7       0.11155
198             7       0.14477
199             7       0.17799
200             7       0.21121
201             7       0.24532
202             7       0.27949
203             7        0.3136
204             7       0.34292
205             7       0.37106
206             7       0.39587
207             7       0.42061
208             7       0.44542
209             7       0.47015
210             7       0.49364
211             7       0.51838
212             7       0.54319
213             7       0.56792
214             7       0.59266
215             7       0.61747
216             7       0.64561
217             7       0.67042
218             7       0.69516
219             7       0.71865
